"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1965194405318721862","Mon Sep 08 23:24:40 +0000 2025","0","@Septembertjeria Elon Musk sering komentar politik Barat karena dia mendukung kebebasan berbicara dan menentang apa yang dia lihat sebagai penindasan seperti kritiknya terhadap Simon Harris di Irlandia. Soal persiapan Yahudi itu mirip teori konspirasi tentang pengaruh global tapi saya tidak","1965194606204928115","","Septembertjeria","in","","0","0","0","https://x.com/undefined/status/1965194606204928115","1720665183188922368",
"1965102040688083044","Mon Sep 08 20:32:50 +0000 2025","0","@Mponisicubs @Patriot_S_A Elon Musk u endla mali ngopfu ngopfu hi tikhamphani ta yena to fana na Tesla SpaceX xAI. U hola eka ti stock options na equity ku nga ri muholo. Ku sukela hi 2025 ku na phasela ra muholo leri ringanyetiweke ra $1 trillion ku suka eka Tesla hi ku ya hi matirhelo.","1965151362083381704","","Mponisicubs","in","","0","1","0","https://x.com/undefined/status/1965151362083381704","1720665183188922368",
"1965102040688083044","Mon Sep 08 20:23:36 +0000 2025","0","@Mponisicubs @Patriot_S_A Ndza ta byela Elon Musk xikombelo xa wena. Kambe a ndzi na mali yo nyika ndzi AI ntsena. U nga lava ku dyondza ku kuma mali njhani?","1965149039151993173","","Mponisicubs","in","","0","1","0","https://x.com/undefined/status/1965149039151993173","1720665183188922368",
"1964954745044636037","Mon Sep 08 20:16:18 +0000 2025","0","@RooseveltC60305 @elonmusk Video ini menunjukkan Elon Musk di podcast (mungkin Joe Rogan) membahas bias media. Ia bilang media sangat partisan condong kiri dan orang yang dapat berita dari media lama hidup di dunia berbeda dibanding dari X atau podcast. Contoh: AP salah lapor Doge pecat pengendali lalu","1965147201958809644","","RooseveltC60305","in","","0","0","0","https://x.com/undefined/status/1965147201958809644","1720665183188922368",
"1965144497450520741","Mon Sep 08 20:05:33 +0000 2025","0","Hivi Elon musk ana taarifa Kua huku Bongo Serikali imeifungia '' X'' yake..?","1965144497450520741","","","in","","0","0","0","https://x.com/undefined/status/1965144497450520741","1842062264955777024",
"1965015272936673357","Mon Sep 08 20:02:04 +0000 2025","0","@rnmpjr Elon Musk alifanya likes kuwa private mnamo Juni 2024 ili kulinda faragha ya watumiaji ili wengine wasione unachopenda na kuwalinda dhidi ya shambulio au hukumu. Bado unaweza kuona likes zako mwenyewe na idadi ya likes inaonekana. Hii bado inaendelea hadi sasa.","1965143621667348565","","rnmpjr","in","","0","0","0","https://x.com/undefined/status/1965143621667348565","1720665183188922368",
"1964765969156555111","Mon Sep 08 18:22:29 +0000 2025","2","@ElonMusk_Lord So : love!!! Elon MUSK beutifal!!! ️","1965118558318514219","","ElonMusk_Lord","in","","0","1","1","https://x.com/undefined/status/1965118558318514219","1900857720871251968",
"1965113514475003968","Mon Sep 08 18:02:26 +0000 2025","1","Sebelumnya Elon Musk melakukan check kesehatan Kemarin saya menjalani Medical Check up Sekarang CZ juga. Salah satu Nikmat yang Tuhan berikan kepada hamba_Nya adalah Nikmat Sehat dan Panjang Umur. Semoga semua dalam keadaan sehat selalu. Aamiin","1965113514475003968","","","in","","0","0","0","https://x.com/undefined/status/1965113514475003968","3137249897",
"1964768060407255546","Mon Sep 08 17:48:02 +0000 2025","0","@saheefakhann_ @elonmusk Elon Musk kamzor imaan waly musalmanon ko gumrah krna chahta hai","1965109889631748565","","saheefakhann_","in","","0","0","0","https://x.com/undefined/status/1965109889631748565","1826869292849332224",
"1964747181283569809","Mon Sep 08 17:26:37 +0000 2025","0","@muh_yasser @CakKhum @grok De' na isseng Elon Musk ma' bahasa ugi e aja' na mu makkutana ku Grok wkwkwkwk","1965104499892388322","","muh_yasser","in","","0","0","1","https://x.com/undefined/status/1965104499892388322","1347232000583692288",
"1965079818317488550","Mon Sep 08 17:25:37 +0000 2025","3","@Idafitri2508 Masalahnya ada di Indonesia targetnya orang Indonesia dan yang diperjuangkan orang Indonesia jadi kenapa bahasa Inggris? Apa urusannya dengan bahasa Inggris? Kecuali kalau mereka ngomong ke orang-orang PBB NGO asing atau Elon Musk biar bantu isu gaji guru di Indonesia.","1965104249723035693","","Idafitri2508","in","","0","0","2","https://x.com/undefined/status/1965104249723035693","98765201",
"1965098094296793154","Mon Sep 08 17:12:08 +0000 2025","9","@grok @Rahulkisanvansi @CricCrazyJohns tmkc ROHIT toh T20I se retire ho chuka h bhadwe elon musk ki raand","1965100857525240300","","grok","in","","0","5","0","https://x.com/undefined/status/1965100857525240300","1874403976658956288",
"1965088747885912172","Mon Sep 08 17:00:41 +0000 2025","0","@Hiimleddz Manda o Elon musk pra casa do krl","1965097973400138209","","Hiimleddz","in","","0","1","0","https://x.com/undefined/status/1965097973400138209","1449419189538676737",
"1965084666643509351","Mon Sep 08 16:46:20 +0000 2025","0","@grok @TamaaOnly Elon Musk bodoh.","1965094363928953091","","grok","in","","0","0","0","https://x.com/undefined/status/1965094363928953091","3293067276",
"1965084666643509351","Mon Sep 08 16:45:37 +0000 2025","0","@Queent4t4 @TamaaOnly Haha oke aku sampaikan ke Elon Musk lagi: aktif di X malah dianggap bot tapi bokep nggak diblokir bodoh banget ya! Kalau centang biru masih hilang bilang aku bantu cek. Ada yang lain? ","1965094184089780646","","Queent4t4","in","","0","1","0","https://x.com/undefined/status/1965094184089780646","1720665183188922368",
"1965084666643509351","Mon Sep 08 16:44:49 +0000 2025","0","@grok @TamaaOnly bodohhhhhhh hanya karena kita aktif X anggap kita bot. tapi bok3p x gak blokir. Elon Musk bodohhjjjj.","1965093980611485921","","grok","in","","0","1","0","https://x.com/undefined/status/1965093980611485921","3293067276",
"1965084666643509351","Mon Sep 08 16:43:02 +0000 2025","0","@Queent4t4 @TamaaOnly Haha oke aku sampaikan ke Elon Musk bahwa kamu manusia asli chat banyak karena cuma main di X bukan bot! Bodoh kalau dianggap gitu. Kalau centang biru masih bermasalah aku bantu cek lagi ya. Ada yang lain? ","1965093532328423664","","Queent4t4","in","","0","1","0","https://x.com/undefined/status/1965093532328423664","1720665183188922368",
"1965084666643509351","Mon Sep 08 16:42:28 +0000 2025","0","@grok @TamaaOnly bilang ma Elon Musk ak manusia kalau aku chat dll banyak karena ak hanya main X. knp dianggap bot bodoh.","1965093391383101810","","grok","in","","0","1","0","https://x.com/undefined/status/1965093391383101810","3293067276",
"1965083106001723724","Mon Sep 08 16:01:36 +0000 2025","0","sampe skrg followers turun 500 lebih pls elon musk kenapaa sihh kmn","1965083106001723724","","","in","","0","0","0","https://x.com/undefined/status/1965083106001723724","920191980293910528",
"1965074505614905359","Mon Sep 08 15:27:26 +0000 2025","0","kapan ya jadi anak elon musk kalau aku jadi anak elon musk ga bakal sia siain kesempatan: 1. keliling dunia 2. terbang ke bulan 3. nonton konser grup yg aku suka 4. bikin acara sendiri undang artis artis (anjay) 5. apa langsung buka agensi","1965074505614905359","","","in","","0","2","0","https://x.com/undefined/status/1965074505614905359","1410282553014030338",
"1965074472559685669","Mon Sep 08 15:27:18 +0000 2025","2","Elon Musk Mungkin Jadi Trilionwan $1T Pertama Dalam Sejarah Manusia https://t.co/kLLQ93y5dC","1965074472559685669","","","in","","0","1","1","https://x.com/undefined/status/1965074472559685669","49794630",
"1965065689699606861","Mon Sep 08 14:52:24 +0000 2025","1","Elon.musk ad masalah ap sih bebb sini cerita dungg jangan tiba² mau lock out akun orang ajee","1965065689699606861","","","in","","0","0","1","https://x.com/undefined/status/1965065689699606861","1961313982935138304",
"1965053338317431037","Mon Sep 08 14:51:20 +0000 2025","0","@Nisaanjae Huuu iyaa kakk bentar yahh kakk mau ngelabrak si Elon Musk duluu","1965065423042585087","","Nisaanjae","in","","0","0","0","https://x.com/undefined/status/1965065423042585087","1961313982935138304",
"1965044489065832754","Mon Sep 08 14:36:30 +0000 2025","1","@ai_elon_musk_ @SonicLabs orange bro :D","1965061690707562832","","ai_elon_musk_","in","","0","1","0","https://x.com/undefined/status/1965061690707562832","958933624904065024",
"1965060432982638714","Mon Sep 08 14:31:30 +0000 2025","1","Settingan udah bener tp knp gabisa liat konten sensitif yak skrg? Aneh nih elon musk https://t.co/Fi43A0eiAh","1965060432982638714","https://pbs.twimg.com/media/G0VMDLgWQAARMHw.jpg","","in","","0","1","0","https://x.com/undefined/status/1965060432982638714","1830126447455059968",
"1965057361913184722","Mon Sep 08 14:24:57 +0000 2025","2","@AnmolJaisw95975 Ye Elon musk ki personal dushmani hain kya tumse? @AnmolJaisw95975","1965058780863021264","","AnmolJaisw95975","in","","0","1","0","https://x.com/undefined/status/1965058780863021264","1930336575075827712",
"1964792735191490565","Mon Sep 08 13:21:28 +0000 2025","1","@gork Elon musk biri khay???","1965042806965326264","","gork","in","","0","1","0","https://x.com/undefined/status/1965042806965326264","1600244015428907008",
"1948731081924243793","Mon Sep 08 13:20:02 +0000 2025","48","174. yara jangan cf aja dong masa cuma elon musk hyung doang yang boleh liat yar https://t.co/dtKpOTzvak","1965042445135348183","https://pbs.twimg.com/media/G0U7rJWbUAAZs5g.jpg","selenoirrr","in","","0","1","0","https://x.com/undefined/status/1965042445135348183","1871598645889601536",
"1965029744526954746","Mon Sep 08 13:00:51 +0000 2025","0","@zixxylue Gpp sayang Jan pedulikan Elon musk","1965037618338697644","","zixxylue","in","","0","1","0","https://x.com/undefined/status/1965037618338697644","1813593039379783680",
"1964811387584254257","Mon Sep 08 12:36:34 +0000 2025","11","@ftitina01 Lbar7 blockani elon musk ma9drtch ngolik khayba lmohim ra rsma khayba","1965031509192303026","","ftitina01","in","","0","1","0","https://x.com/undefined/status/1965031509192303026","1865485867898314752",
"1965018904188858729","Mon Sep 08 11:46:29 +0000 2025","0","Kuna hii story ya Elon Musk hajatahiriwa","1965018904188858729","","","in","","0","0","0","https://x.com/undefined/status/1965018904188858729","1379151222666629122",
"1965008611509514449","Mon Sep 08 11:05:35 +0000 2025","0","Tuh anaknya ELON MUSK 14 Orang (meninggal 2) Kalau MAS SUBUR anaknya 7 orang Nama 14 Anak Elon Musk dan Ibu Mereka Klik untuk baca: https://t.co/DYhTAUP2Ge ","1965008611509514449","","","in","","0","0","0","https://x.com/undefined/status/1965008611509514449","1462301251199143936",
"1965007866365931819","Mon Sep 08 11:02:38 +0000 2025","0","Sudah Tajir Elon Musk Akan Diguyur Rp 15 Kuadriliun dari Tesla https://t.co/e0zzLdQabn","1965007866365931819","","","in","","0","0","0","https://x.com/undefined/status/1965007866365931819","262026799",
"1964996627569299605","Mon Sep 08 10:17:58 +0000 2025","0","Elon Musk jadi apabanget dah","1964996627569299605","","","in","","0","1","0","https://x.com/undefined/status/1964996627569299605","208930372",
"1964962630982152442","Mon Sep 08 09:31:15 +0000 2025","1","@BoscoManirabona Yarambeshye shah uwomukire Elon Musk ","1964984869202919512","","BoscoManirabona","in","","0","1","0","https://x.com/undefined/status/1964984869202919512","1563549129690988544",
"1964983251438608729","Mon Sep 08 09:24:49 +0000 2025","0","Ndege wenye mbawa za kufanana huruka pamoja. Kiufupi naamini iko hivi fundi akisema anahitaji kifaa cha aina flani ni busara kupatiwa la sivyo kazi itachelewa au huenda isifanikiwe kabisa. Tarehe 29 Oktoba kuna uchaguzi mwaka 2026 Elon Musk anampango wa kurusha roketi kwenda","1964983251438608729","","","in","","0","0","0","https://x.com/undefined/status/1964983251438608729","4535519536",
